"","Feature","Coeff","abs_Coeff","scaled","abs_scaled"
"1","CDYL",-0.879430404313436,0.879430404313436,-1,1
"2","WASF1",0.812174827716364,0.812174827716364,0.923523707769033,0.923523707769033
"3","VPS8",0.81202526351733,0.81202526351733,0.923353638371499,0.923353638371499
"4","TEX9",0.731084671113684,0.731084671113684,0.83131611953357,0.83131611953357
"5","CNTROB",-0.688147447772989,0.688147447772989,-0.782492218142287,0.782492218142287
"6","AP1G1",-0.646753364423869,0.646753364423869,-0.73542302068665,0.73542302068665
"7","TMSB4XP8",0.635884356416937,0.635884356416937,0.723063875547226,0.723063875547226
"8","HGD",-0.552957640153217,0.552957640153217,-0.628767935974316,0.628767935974316
"9","LTF",0.519639528279905,0.519639528279905,0.590881922811826,0.590881922811826
"10","EAF2",-0.491441243271771,0.491441243271771,-0.558817662957008,0.558817662957008
"11","HNRNPAB",-0.489211585668971,0.489211585668971,-0.55628232008978,0.55628232008978
"12","SCFD2",-0.479687328820544,0.479687328820544,-0.545452291014468,0.545452291014468
"13","MAOB",0.467289061622631,0.467289061622631,0.531354225792818,0.531354225792818
"14","DDX11L5",-0.453745037837799,0.453745037837799,-0.515953321163639,0.515953321163639
"15","EMR1",-0.442837036116089,0.442837036116089,-0.503549836285008,0.503549836285008
"16","HPSE",0.413435827070533,0.413435827070533,0.470117731935023,0.470117731935023
"17","EHMT2",0.406451845772827,0.406451845772827,0.462176249285059,0.462176249285059
"18","IGFBP2",0.382603045079138,0.382603045079138,0.435057786497424,0.435057786497424
"19","HSD17B3",-0.37549199933647,0.37549199933647,-0.42697181891228,0.42697181891228
"20","LIPC",-0.369444191045934,0.369444191045934,-0.420094858255846,0.420094858255846
"21","NCKIPSD",0.353275129044412,0.353275129044412,0.401709023603989,0.401709023603989
"22","TBC1D9B",0.352647483018595,0.352647483018595,0.400995327531238,0.400995327531238
"23","SIAE",0.328648635999056,0.328648635999056,0.373706247119838,0.373706247119838
"24","CA1",0.297120569282864,0.297120569282864,0.337855693668931,0.337855693668931
"25","GRHL1",-0.291401848239909,0.291401848239909,-0.33135293800469,0.33135293800469
"26","RBM22",-0.287883571711455,0.287883571711455,-0.327352307015361,0.327352307015361
"27","FCGR2A",0.285250433679013,0.285250433679013,0.324358166695073,0.324358166695073
"28","FLOT2",-0.283015840375696,0.283015840375696,-0.321817211444542,0.321817211444542
"29","TBC1D14",-0.279620029699174,0.279620029699174,-0.317955836331894,0.317955836331894
"30","AQR",-0.269918727208456,0.269918727208456,-0.306924488719695,0.306924488719695
"31","PLOD2",0.257465952988261,0.257465952988261,0.292764443582392,0.292764443582392
"32","DOCK8",0.254085764548766,0.254085764548766,0.288920832509912,0.288920832509912
"33","NUP205",-0.252598301021014,0.252598301021014,-0.287229438261479,0.287229438261479
"34","INTS10",0.238695836775766,0.238695836775766,0.27142095111223,0.27142095111223
"35","FSTL4",-0.235787870487138,0.235787870487138,-0.268114303679568,0.268114303679568
"36","TPM1",0.232445884515032,0.232445884515032,0.26431413261917,0.26431413261917
"37","NASP",-0.229952747484261,0.229952747484261,-0.261479187388095,0.261479187388095
"38","DDX11L10",-0.229323896922737,0.229323896922737,-0.260764121638219,0.260764121638219
"39","CD22",-0.227825809217812,0.227825809217812,-0.259060646641702,0.259060646641702
"40","OCIAD2",-0.227347901109535,0.227347901109535,-0.258517217501735,0.258517217501735
"41","POU2F2",-0.216149757438852,0.216149757438852,-0.245783812316107,0.245783812316107
"42","CLEC2D",-0.206170171739676,0.206170171739676,-0.234436028966535,0.234436028966535
"43","RGCC",-0.205535401282421,0.205535401282421,-0.233714231705328,0.233714231705328
"44","CIRBP",-0.204052699696796,0.204052699696796,-0.232028252259596,0.232028252259596
"45","SLC7A7",0.202036512063191,0.202036512063191,0.229735646018424,0.229735646018424
"46","MTRNR2L12",0.197655250967701,0.197655250967701,0.224753715584815,0.224753715584815
"47","CSE1L",-0.191802831678871,0.191802831678871,-0.218098931692736,0.218098931692736
"48","WDFY4",-0.188005194718741,0.188005194718741,-0.213780640055895,0.213780640055895
"49","FOS",-0.183969578353827,0.183969578353827,-0.209191742122505,0.209191742122505
"50","MS4A1",-0.166808061366376,0.166808061366376,-0.189677387259088,0.189677387259088
"51","HTATIP2",0.159643866489072,0.159643866489072,0.181530983811851,0.181530983811851
"52","PLEKHA1",0.159438473962145,0.159438473962145,0.181297432042524,0.181297432042524
"53","BBS2",-0.150344017031257,0.150344017031257,-0.170956128300601,0.170956128300601
"54","DHRS7",0.149959761747095,0.149959761747095,0.17051919175363,0.17051919175363
"55","NSMCE1",-0.149624954745589,0.149624954745589,-0.170138482831282,0.170138482831282
"56","DYNC1H1",0.149367900632665,0.149367900632665,0.16984618669089,0.16984618669089
"57","PPP5C",-0.148898471988431,0.148898471988431,-0.169312399546471,0.169312399546471
"58","`HLA-C`",0.148652206236544,0.148652206236544,0.169032370847578,0.169032370847578
"59","IARS2",-0.146310466594252,0.146310466594252,-0.166369579533102,0.166369579533102
"60","MTRNR2L2",0.138990620654771,0.138990620654771,0.158046185318416,0.158046185318416
"61","NOC2L",-0.137277540605667,0.137277540605667,-0.156098242603789,0.156098242603789
"62","TPM2",0.134069378306919,0.134069378306919,0.152450242394776,0.152450242394776
"63","PDE2A",0.131298796637266,0.131298796637266,0.149299814963493,0.149299814963493
"64","PREX1",0.130415171267538,0.130415171267538,0.148295044869812,0.148295044869812
"65","PNPT1",0.129263704168966,0.129263704168966,0.146985712041513,0.146985712041513
"66","RAPGEF1",-0.125909678865818,0.125909678865818,-0.143171851062069,0.143171851062069
